﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F777,175.8,75.5,75.5,91.6,38.8,56.1,36.2,101.5,79.5,95.3,105.2,94.7,M,34
F778,171,72.5,72.5,89.6,38.8,53.3,36.8,97,86.8,93.3,101.7,53.2,M,51
F779,164.3,62.6,62.6,89.9,34.2,51.8,34.3,92.3,76,88,102.4,53.5,M,30
F780,177.3,78.1,78.1,95.1,41.7,56.9,35.7,100.1,80.4,99,107.4,58.9,M,34
F781,172.3,66.2,66.2,84.3,41.6,53.9,34.8,99.6,77.2,91.4,102.5,53.2,M,55
F782,177.5,83.1,83.1,103.3,41.2,56.7,38.6,102.3,89,100.2,109.9,57.5,M,47
F783,167.4,74.6,74.6,100.3,38.7,51.6,36.5,96.3,88,96.4,101.8,56.7,M,55
F784,173.8,77.1,77.1,95.6,41.6,53.4,38,100.5,93,93.5,103.4,52.4,M,67
F785,174.6,61.4,61.4,83.3,37.8,56.5,34.4,97.1,71.9,87.4,104.9,49.7,M,30
F786,177.6,70,70,89.1,39,57.6,33.9,99.6,76.6,91.2,108.9,54.8,M,30
F787,177.8,64.8,64.8,84.8,41.9,56.8,32.8,102.1,75.2,85.5,105.9,50.6,M,30
F788,173.1,82.3,82.3,100.8,39.3,55.2,37.3,100.6,90.3,98.5,104.4,61,M,48
F789,168.8,70.7,70.7,89.4,40.1,52.3,35.1,98.3,80.5,64.5,99.4,55.8,M,48
F790,177.8,74.8,74.8,93.5,40.4,58.2,37,100.7,79.3,94.8,108.8,56.2,M,36
F791,178,87.3,87.3,94.2,38.1,56.2,38,102.6,94,102.3,108.2,59,M,43
F792,171,70.1,70.1,89.5,40.1,50.6,34.3,96.8,83,92.5,103,57.6,M,44
F793,174.3,71.4,71.4,96.7,37,53.9,34.5,99.5,79.5,97,102,54.9,M,42
F794,169.3,76.1,76.1,95.3,38,56,37.3,95.7,84,96.9,101.5,60.2,M,52
F795,170.4,56.9,56.9,83.5,35.1,53.5,36.6,99.1,69.9,85.5,102.2,47.1,M,63
F796,168.3,67.8,67.8,93.5,37.4,53.1,39.7,91.8,80.7,92,101.6,52,M,53
F797,167.3,88.5,88.5,108,37.4,57.6,37.3,96.9,99.5,105.1,102,66.3,M,24
F798,168.6,58.9,58.9,84.5,36.3,55.8,36.3,93.4,68.3,87,101.7,51.8,M,46
F799,167.5,80,80,103.5,37.6,56,39.1,93.1,92.3,96.8,102,57.5,M,43
F800,174.6,80.7,80.7,97.8,40,58.7,39.3,98.3,89,99.6,105.6,60,M,36
F801,170.9,80.8,80.8,99.2,37.1,54.7,39.6,96.1,96,99.4,103.7,57.9,M,66
F802,173.8,73.8,73.8,96.5,38.4,57.1,38,96.9,80.3,95.2,104.9,56.5,M,51
F803,169.9,62,62,89.5,39.2,53.6,33.8,93.7,77.8,89.5,103,51.3,M,42
F804,165.5,57.1,57.1,82.4,35,52.1,34.3,92.1,74.7,88.9,99.3,50.7,M,58
