﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F972,178.5,87.4,87.4,99.7,40.8,57.3,37.8,104,95,103.8,113.2,61.3,M,56
F973,167.1,75.9,75.9,98.7,38,57.2,36.5,99.2,90.9,97.7,103.9,54.9,M,72
F974,165.7,71.4,71.4,92.6,40.4,53.7,37.8,96.8,90.7,95.5,101.3,53.3,M,63
F975,163.3,66.7,66.7,94.3,38.7,54.9,36.7,95.2,92.8,89.7,101.5,50,M,68
F976,159.9,64.3,64.3,97.2,37.4,50.5,35.4,90.9,91.3,92.2,96.9,53.3,M,76
F977,164.3,60.9,60.9,87.2,36.1,52.5,34.4,97.8,77.3,91.1,103.3,53.6,M,59
F978,169.8,85.3,85.3,99.3,36.5,53.7,39.2,97.8,106,100.6,105.3,57.5,M,73
F979,173.1,80.6,80.6,98.3,36,56.3,38.5,100.5,96.4,97.3,107.9,57.2,M,65
F980,159.1,59.8,59.8,87.7,34.5,53.3,34.3,91.7,86.7,86.7,99.9,49.5,M,67
F981,171.7,73.8,73.8,96.8,39,54.7,37.5,101.4,93.2,93.9,103.3,52.8,M,68
F982,162.1,61.4,61.4,86.8,33,53.7,35.1,93.2,83.9,89.8,102.1,50.2,M,71
F983,162,57.6,57.6,83,33.3,50.1,33.5,93.8,82.2,87.4,98.9,49.2,M,61
F984,167.8,71,71,95.3,34.4,57.3,38.2,96.2,91.1,94.8,103.8,53.9,M,78
F985,165.2,72.1,72.1,96.5,37.6,53.6,35,94.8,90.8,95.2,101.4,52.8,M,75
F986,170.2,73.8,73.8,94,38.7,54,36.5,100.4,84.6,96.1,103.6,54.1,M,75
F987,161.1,69.4,69.4,97.7,38.2,51,36.3,93.4,87,92.5,95.6,53.7,M,59
F988,183.5,80.8,80.8,94.7,42,56.6,37.5,104.9,85.4,98.7,113.7,57.9,M,42
F989,165.4,85.4,85.4,100.3,40.1,53.9,41.2,97.6,98.8,97.5,97.4,58.6,M,61
F990,165.5,77.9,77.9,98.2,38.6,54.5,36.5,96.3,93.1,99.4,97,56.4,M,47
F991,176.4,95.5,95.5,105.2,42.6,56,39,104.2,101,103.7,103.9,66.4,M,48
F992,157.4,63.9,63.9,90.3,37.5,53.9,35.5,90.9,87,95.6,96.3,54,M,75
F993,167.3,68,68,91.7,38.4,54.5,36.4,98.8,82,93.2,98.5,53.1,M,58
F994,169.9,65.2,65.2,92.7,39.1,53,38.2,100.8,81.8,87,97.6,48.4,M,53
F995,173.7,67.2,67.2,91.7,39,56.1,34.5,100.9,72.3,93.9,101.5,55.3,M,30
